name,mean_test_accuracy_mean,mean_test_accuracy_std,mean_test_recall_mean,mean_test_recall_std,mean_test_specificity_mean,mean_test_specificity_std,mean_test_mcc_mean,mean_test_mcc_std,mean_test_gm_mean,mean_test_gm_std,mean_test_uar_mean,mean_test_uar_std,mean_test_bm_mean,mean_test_bm_std
0,0.7698924795918367,0.05124828034393855,0.763747612244898,0.11920568260745774,0.7806483775510207,0.10421202651034124,0.5412073571428572,0.0606836341287939,0.7620746530612246,0.049151892256492594,0.7721980612244898,0.03640334308931924,0.544396,0.07280675792257114
1,0.7688547040816327,0.05027446162121761,0.7633715612244898,0.1179119283034086,0.778445755102041,0.10659821490614427,0.5388650306122449,0.06087889836582267,0.7607280204081633,0.0485355982907688,0.770908693877551,0.036455405625613384,0.5418173061224489,0.07291094117227519
10,0.7744048673469388,0.05359924615538469,0.7703329897959184,0.12083782013508806,0.7815902857142858,0.09722980849428353,0.5495899897959183,0.06173279976674581,0.765406918367347,0.05153848776383488,0.7759616326530613,0.03692557127307642,0.551923142857143,0.07385119548202122
100,0.7773287959183675,0.06929724017294475,0.7647742346938775,0.14381297527790934,0.7988492040816326,0.09070538517083124,0.5609882653061224,0.07564676594126273,0.7697272448979593,0.07097327281522499,0.781811755102041,0.046485695148778615,0.5636236530612245,0.09297139189242287
1000,0.7676529693877551,0.05979655084085512,0.7675319795918366,0.13644826668892482,0.7675871224489796,0.09883280686643608,0.5354457040816326,0.05950691297936912,0.7562028469387756,0.05782386060659179,0.767559612244898,0.037356097920252296,0.5351190204081632,0.07471225538546593
1001,0.7662921734693878,0.06014633798109913,0.7674365816326532,0.13770702898791634,0.7639025714285714,0.10272861753884989,0.5325543571428571,0.06078106980978246,0.753851612244898,0.058696108296788306,0.7656695612244897,0.03819166211646022,0.5313393673469387,0.07638342610159814
1002,0.7663553877551023,0.05958638167177709,0.7665357448979592,0.13629534333433763,0.7657111530612246,0.09920463195105024,0.5324588061224489,0.05894861932079498,0.7548562346938776,0.057869670163755695,0.7661234591836735,0.03719172176269304,0.532246836734694,0.07438346681332449
1003,0.7679869081632652,0.06036697383283137,0.7686208775510205,0.1380449046640121,0.7664504795918365,0.10064039386101178,0.5363674489795919,0.059871713676142496,0.7557488163265306,0.058517736566206104,0.7675357959183673,0.037724574966065454,0.5350714387755102,0.07544934178790542
1004,0.7687049591836734,0.06323614239392135,0.7596629591836734,0.1380087479313008,0.784150755102041,0.09071715816769109,0.541784193877551,0.06442924009764482,0.7610247551020408,0.062098374105425215,0.771906775510204,0.0400485626483212,0.5438136530612244,0.08009716552163404
1005,0.7676534591836736,0.06332130333191947,0.7589517551020408,0.13857622621719498,0.7823988265306122,0.09277256257983496,0.5400525714285714,0.06485548050048241,0.7594397040816327,0.06244528472309693,0.7706753163265305,0.040323965066348604,0.5413504387755103,0.08064788996313865
1006,0.7681590714285713,0.0633857393409509,0.759075969387755,0.13805890669076204,0.7837238163265307,0.08978093344338717,0.5405985510204082,0.06451441508464495,0.7605912959183674,0.06246205156109434,0.771399836734694,0.040058035176734424,0.5427996326530613,0.08011602379505392
1007,0.7670048979591835,0.06339438678791905,0.7575180510204084,0.13813711040662538,0.783201,0.09102642569928597,0.5388019693877552,0.06457377443316632,0.7594305408163265,0.06289614445760836,0.770359530612245,0.040318697724633826,0.5407188979591837,0.08063747652410165
