name,mean_test_accuracy_mean,mean_test_accuracy_std,mean_test_recall_mean,mean_test_recall_std,mean_test_specificity_mean,mean_test_specificity_std,mean_test_mcc_mean,mean_test_mcc_std,mean_test_gm_mean,mean_test_gm_std,mean_test_uar_mean,mean_test_uar_std,mean_test_bm_mean,mean_test_bm_std
5631,0.7849854666666666,0.004595738008598621,0.8299056666666667,0.004271856483555132,0.7051588,0.009860750123246387,0.5362960666666666,0.010298865762568341,0.7617107000000002,0.006181479429827395,0.7675323666666666,0.005476752243509061,0.5350645666666666,0.010953348320328201
5632,0.7836038333333334,0.007175209145495983,0.8153349999999999,0.009084493715610433,0.7273846666666668,0.010526199763982466,0.5389647333333334,0.014904613756712436,0.7676035,0.007358697690957049,0.7713598333333334,0.007222859172546333,0.5427196,0.014445521710539052
5633,0.7795411333333334,0.009465046910401021,0.8118467,0.010193437598735283,0.7224103000000003,0.02380928679890294,0.5309748333333333,0.021717690909015628,0.7634267,0.01246977957427614,0.7671283666666667,0.011734614212788954,0.5342570666666667,0.023469310781254887
5634,0.7862561,0.00690541131312598,0.8102642999999999,0.008158345936777748,0.7436820000000001,0.011771651816238834,0.5483582666666666,0.013995670699906804,0.7737977999999999,0.007842092500487799,0.7769731999999999,0.007343927753945585,0.5539464,0.014687897839307405
5635,0.7773602999999999,0.010441378905998035,0.8063854333333336,0.009489386658292239,0.7258719,0.017330513358395278,0.5274863333333333,0.022470479080161015,0.7628008666666669,0.011838697693794592,0.7661285666666667,0.0115349969154842,0.5322573666666667,0.023070064369943424
5636,0.7720573333333332,0.008584066500101269,0.8006884999999999,0.008132043030187911,0.7212564666666668,0.013766901483789585,0.5162914333333333,0.018489316090526498,0.7576539333333331,0.009865408501017792,0.7609724333333332,0.00937515678097258,0.5219449666666667,0.018750531699097243
5637,0.7806114333333334,0.007629392562629919,0.8015403666666665,0.009406768445383214,0.7433281333333334,0.01452562178319765,0.538587,0.01618711705072256,0.7692123,0.00841603773243639,0.7724343333333333,0.008317456082129982,0.5448686666666666,0.016634769513931023
5638,0.7827474666666668,0.006143643941356047,0.8075623666666666,0.008186175354210594,0.7386819666666666,0.009739434793780345,0.5410149666666668,0.012187694091776044,0.7696959666666667,0.0064355883287219,0.7731220666666668,0.0062067909190372935,0.5462445,0.012413549570863118
5639,0.7787122333333335,0.006237894525887068,0.8047424666666668,0.006018262687413424,0.7324665666666667,0.01401784326635986,0.5323172333333335,0.013996742176819862,0.7649645666666665,0.007542153139399974,0.7686045999999999,0.007464087987802344,0.5372091,0.014928286351870674
564,0.7870138000000001,0.004901652897853377,0.8179814333333333,0.005701467419601863,0.7320972666666666,0.012751456630608877,0.547057,0.011038605846504481,0.7718219666666666,0.006547424118312284,0.7750394666666669,0.0061204054561055255,0.5500789666666667,0.01224066401591738
