name,mean_test_accuracy_mean,mean_test_accuracy_std,mean_test_recall_mean,mean_test_recall_std,mean_test_specificity_mean,mean_test_specificity_std,mean_test_mcc_mean,mean_test_mcc_std,mean_test_gm_mean,mean_test_gm_std,mean_test_uar_mean,mean_test_uar_std,mean_test_bm_mean,mean_test_bm_std
0,0.7096599244897959,0.12911005233121758,0.6087530918367348,0.2866496194373337,0.8470387346938776,0.10824639226272968,0.470964281632653,0.17905020375750927,0.6512030918367347,0.22425602631885921,0.7278958204081633,0.10220862981845737,0.45579160816326536,0.20441736644633784
1,0.7052515959183673,0.1306356751715768,0.6052554163265306,0.29114446059281907,0.8414033142857142,0.11597699713326029,0.4623430755102041,0.18214957310474744,0.6440705102040817,0.22843354329393256,0.7233292040816325,0.1036049881895946,0.4466586693877551,0.2072098602055554
10,0.6989403612244898,0.1407625383408005,0.5881818346938776,0.30852172686168633,0.8497328591836735,0.10841617022839535,0.4545931918367347,0.19604130674420478,0.6316553204081633,0.2474593147248398,0.7189571469387754,0.11178838319397755,0.4379145285714286,0.22357664651853654
100,0.6896992571428572,0.16457702562090532,0.5620532,0.35025016292743694,0.8633341040816326,0.09944118351665793,0.4337807142857143,0.248864881942112,0.5858521653061225,0.3259181998222397,0.7126937673469388,0.13165815911839548,0.4253873346938776,0.2633162214200926
1000,0.6930258142857143,0.16804670015137776,0.5670416510204082,0.35602475832202496,0.8644526918367347,0.10025123488404523,0.44102753265306127,0.2553488470599036,0.5879116306122449,0.33111639152932787,0.7157471265306122,0.1347695330889994,0.43149433877551024,0.2695391360036964
1001,0.6921910265306123,0.16836427401376247,0.5662272408163267,0.3572885811410697,0.8635487632653059,0.10163161474084413,0.4390460714285715,0.25653788194056076,0.5854672918367346,0.33306496223287224,0.7148879775510204,0.13493110006217718,0.4297760020408163,0.2698621703123792
1002,0.693171012244898,0.16888853736241846,0.5652904979591836,0.3563999185350243,0.8671514,0.09822414558036659,0.4417268306122449,0.25709900635790633,0.587563787755102,0.3326063318193491,0.7162210673469387,0.13564790926234338,0.43244188163265307,0.27129573614371644
1003,0.690678818367347,0.1682613733361126,0.563184855102041,0.3567934548453603,0.864118957142857,0.10158870724932552,0.4358639653061225,0.2571637170404371,0.5827912591836735,0.3346999901290477,0.7136518571428572,0.13491815584024758,0.42730381020408165,0.26983632159647913
1004,0.6752416877551022,0.16997589944760086,0.5314672918367347,0.3610066649610915,0.8708251673469388,0.10464768035691172,0.4118062204081633,0.2602394066926269,0.5565330448979592,0.34225071310029814,0.701146293877551,0.13626657716690702,0.4022924448979592,0.27253303250529043
1005,0.6733786040816326,0.16946432207089263,0.5284923632653062,0.3604350602239817,0.8704882979591837,0.10552812745394272,0.408415487755102,0.2592347668143161,0.5541950816326531,0.3419706546129514,0.6994903428571428,0.13580114776606858,0.39898068367346934,0.27160229677643205
