dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
8061,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 100}",0.702393,0.069338,0.85449,0.033636,0.899428,0.039784,0.79337,0.062074,0.843816,0.037047,0.846399,0.035622,0.692797,0.071245
1919,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.697656,0.068062,0.852193,0.03304,0.895301,0.04007,0.793554,0.060467,0.842,0.036115,0.844428,0.034849,0.688855,0.069698
3094,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 5, 'classifier__n_estimators': 75}",0.69221,0.069804,0.849431,0.033952,0.889008,0.042213,0.795593,0.061889,0.84004,0.036855,0.842301,0.035663,0.684601,0.071326
2897,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 125}",0.694181,0.068131,0.850336,0.033122,0.887894,0.04153,0.799238,0.062392,0.841407,0.036241,0.843566,0.034991,0.687132,0.069982
1499,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 175}",0.692024,0.068444,0.849474,0.033189,0.892472,0.039798,0.790979,0.061595,0.83927,0.036505,0.841725,0.035144,0.68345,0.070287
1247,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 100}",0.690836,0.070578,0.848955,0.034246,0.895462,0.040611,0.785687,0.060615,0.837908,0.037267,0.840574,0.035973,0.681149,0.071946
8191,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 150}",0.699275,0.069312,0.852984,0.033541,0.898404,0.039735,0.791213,0.061924,0.842189,0.036923,0.844808,0.035528,0.689617,0.071056
7166,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 125}",0.70178,0.069508,0.854222,0.033689,0.896391,0.039419,0.796864,0.061259,0.844288,0.036922,0.846627,0.035621,0.693255,0.071242
821,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 75}",0.68742,0.07287,0.847088,0.035402,0.886978,0.04355,0.792821,0.063263,0.837583,0.038348,0.839899,0.037089,0.679799,0.074179
2999,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 75}",0.691989,0.071297,0.849381,0.034619,0.889835,0.041906,0.794352,0.061973,0.839808,0.03754,0.842094,0.036356,0.684187,0.072713
