dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
3291,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.654901,0.088612,0.833519,0.043005,0.834846,0.055179,0.831155,0.075439,0.83157,0.045641,0.833001,0.045124,0.666002,0.090249
6248,svm_rbf,"{'classifier__C': 500, 'classifier__gamma': 0.001, 'classifier__kernel': 'rbf'}",0.6623,0.084766,0.833058,0.042665,0.816332,0.057908,0.862372,0.070522,0.83765,0.043568,0.839352,0.043227,0.678705,0.086454
6504,svm_rbf,"{'classifier__C': 500, 'classifier__gamma': 0.001, 'classifier__kernel': 'rbf'}",0.662283,0.084826,0.833058,0.042687,0.816377,0.057938,0.862292,0.070593,0.837632,0.043599,0.839335,0.043256,0.67867,0.086512
3512,svm_rbf,"{'classifier__C': 100, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.653417,0.082714,0.83101,0.040861,0.824334,0.055463,0.842711,0.071778,0.83205,0.042494,0.833523,0.042145,0.667045,0.08429
4317,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.662515,0.083938,0.833339,0.04238,0.817488,0.058264,0.86116,0.069088,0.837667,0.042929,0.839324,0.042572,0.678648,0.085143
4573,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.662458,0.083858,0.83331,0.042346,0.817465,0.058268,0.86112,0.069067,0.837634,0.042887,0.839293,0.04253,0.678585,0.08506
4316,svm_rbf,"{'classifier__C': 5, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.65989,0.085438,0.83292,0.0427,0.820854,0.057977,0.8541,0.07142,0.835889,0.043779,0.837477,0.043403,0.674954,0.086807
4572,svm_rbf,"{'classifier__C': 5, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.659928,0.085421,0.832949,0.042681,0.820921,0.057936,0.85406,0.071484,0.835903,0.04378,0.837491,0.043405,0.674981,0.08681
6239,svm_rbf,"{'classifier__C': 5, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.656862,0.083438,0.830345,0.042018,0.81357,0.057405,0.859752,0.068664,0.835006,0.042598,0.836661,0.042339,0.673323,0.084677
6495,svm_rbf,"{'classifier__C': 5, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.656874,0.083443,0.830345,0.042013,0.81357,0.057439,0.859752,0.06878,0.835,0.042602,0.836661,0.042344,0.673323,0.084688
6360,svm_rbf,"{'classifier__C': 1000, 'classifier__gamma': 0.001, 'classifier__kernel': 'rbf'}",0.645474,0.08615,0.82726,0.042294,0.821386,0.056172,0.837512,0.0737,0.827965,0.0441,0.829449,0.043831,0.658899,0.087663
6616,svm_rbf,"{'classifier__C': 1000, 'classifier__gamma': 0.001, 'classifier__kernel': 'rbf'}",0.645447,0.086104,0.82726,0.042263,0.821455,0.056162,0.837392,0.073772,0.827936,0.044085,0.829423,0.043815,0.658847,0.08763
4316,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.661413,0.083406,0.833137,0.041968,0.818794,0.057923,0.858312,0.0699,0.836914,0.042714,0.838553,0.042361,0.677107,0.084722
3545,svm_rbf,"{'classifier__C': 100, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.654492,0.086861,0.831476,0.042548,0.824294,0.055579,0.844055,0.07434,0.832696,0.044683,0.834175,0.044365,0.66835,0.088731
3512,svm_rbf,"{'classifier__C': 100, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.652972,0.082457,0.830664,0.040753,0.823362,0.055265,0.84346,0.071521,0.831942,0.042364,0.833411,0.042035,0.666822,0.084071
3256,svm_rbf,"{'classifier__C': 100, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.652912,0.082337,0.830622,0.040707,0.823294,0.055326,0.843462,0.071515,0.831903,0.042298,0.833378,0.04197,0.666756,0.083939
3256,svm_rbf,"{'classifier__C': 100, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.653515,0.082658,0.83101,0.040829,0.824109,0.055383,0.843111,0.071935,0.83213,0.042524,0.83361,0.042161,0.667219,0.084322
4572,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.661352,0.083234,0.833108,0.041898,0.818772,0.057903,0.858274,0.069852,0.836882,0.042645,0.838523,0.042284,0.677046,0.084567
3289,svm_rbf,"{'classifier__C': 100, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.654544,0.086781,0.831504,0.042507,0.824339,0.055567,0.844055,0.07434,0.832717,0.044644,0.834197,0.044326,0.668394,0.088653
