dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
414,svm_poly,"{'classifier__C': 500, 'classifier__degree': 3, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.665957,0.083407,0.835961,0.041503,0.82341,0.055596,0.858,0.069457,0.839226,0.042654,0.840705,0.042382,0.68141,0.084764
1138,svm_poly,"{'classifier__C': 5, 'classifier__degree': 3, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.653632,0.084113,0.827792,0.042727,0.807553,0.058856,0.863305,0.068497,0.833601,0.042927,0.835429,0.042701,0.670858,0.085401
1138,svm_poly,"{'classifier__C': 5000, 'classifier__degree': 3, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.653632,0.084113,0.827792,0.042727,0.807553,0.058856,0.863305,0.068497,0.833601,0.042927,0.835429,0.042701,0.670858,0.085401
1394,svm_poly,"{'classifier__C': 5, 'classifier__degree': 3, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.653594,0.084064,0.827778,0.0427,0.807553,0.058829,0.863265,0.068475,0.833582,0.042901,0.835409,0.042675,0.670818,0.08535
1394,svm_poly,"{'classifier__C': 5000, 'classifier__degree': 3, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.653594,0.084064,0.827778,0.0427,0.807553,0.058829,0.863265,0.068475,0.833582,0.042901,0.835409,0.042675,0.670818,0.08535
7608,svm_poly,"{'classifier__C': 1000, 'classifier__degree': 2, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.641415,0.085882,0.827092,0.041564,0.829392,0.054201,0.822972,0.076042,0.824677,0.044487,0.826182,0.043958,0.652365,0.087916
7603,svm_poly,"{'classifier__C': 0.5, 'classifier__degree': 3, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.650789,0.085578,0.826825,0.043037,0.808359,0.058447,0.859225,0.071529,0.831975,0.043912,0.833792,0.043679,0.667583,0.087358
7603,svm_poly,"{'classifier__C': 500, 'classifier__degree': 3, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.650767,0.085607,0.826811,0.043059,0.808336,0.058483,0.859225,0.071529,0.831963,0.043927,0.83378,0.043693,0.66756,0.087385
7347,svm_poly,"{'classifier__C': 0.5, 'classifier__degree': 3, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.650668,0.08564,0.826753,0.043067,0.808246,0.058474,0.859223,0.071555,0.831916,0.04394,0.833735,0.043709,0.667469,0.087417
7347,svm_poly,"{'classifier__C': 500, 'classifier__degree': 3, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.650741,0.085673,0.826782,0.043078,0.808246,0.058474,0.859305,0.071597,0.831955,0.043958,0.833775,0.043728,0.667551,0.087457
6297,svm_poly,"{'classifier__C': 7000, 'classifier__degree': 6, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.656579,0.084179,0.829909,0.04274,0.812264,0.059014,0.860889,0.068324,0.83486,0.042884,0.836577,0.042643,0.673153,0.085287
4574,svm_poly,"{'classifier__C': 50, 'classifier__degree': 6, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.656734,0.084505,0.832292,0.041721,0.823623,0.055096,0.847508,0.071123,0.834152,0.043289,0.835565,0.043031,0.671131,0.086063
4318,svm_poly,"{'classifier__C': 50, 'classifier__degree': 6, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.656551,0.084582,0.83222,0.041737,0.823623,0.055049,0.847309,0.071302,0.83405,0.043361,0.835466,0.043091,0.670932,0.086181
216,svm_poly,"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.5, 'classifier__kernel': 'poly'}",0.65481,0.086185,0.830498,0.042753,0.818779,0.057392,0.851034,0.073298,0.833298,0.044189,0.834907,0.043943,0.669813,0.087886
216,svm_poly,"{'classifier__C': 10, 'classifier__degree': 2, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.654834,0.086154,0.830512,0.042734,0.818802,0.057369,0.851034,0.073298,0.833309,0.044175,0.834918,0.043929,0.669836,0.087858
216,svm_poly,"{'classifier__C': 1000, 'classifier__degree': 2, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.654863,0.086224,0.830526,0.042769,0.818825,0.057418,0.851034,0.073298,0.833321,0.0442,0.834929,0.043955,0.669859,0.087909
472,svm_poly,"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.5, 'classifier__kernel': 'poly'}",0.654857,0.086145,0.830526,0.042726,0.818825,0.057346,0.851034,0.073298,0.833322,0.044171,0.834929,0.043926,0.669859,0.087852
472,svm_poly,"{'classifier__C': 10, 'classifier__degree': 2, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.654839,0.086203,0.830512,0.042764,0.818802,0.057423,0.851034,0.073298,0.833308,0.044193,0.834918,0.043948,0.669836,0.087896
472,svm_poly,"{'classifier__C': 1000, 'classifier__degree': 2, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.65481,0.086185,0.830498,0.042753,0.818779,0.057392,0.851034,0.073298,0.833298,0.044189,0.834907,0.043943,0.669813,0.087886
4312,svm_poly,"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.5, 'classifier__kernel': 'poly'}",0.654486,0.085857,0.830326,0.042576,0.818559,0.057226,0.850951,0.073458,0.833136,0.04407,0.834755,0.043821,0.669509,0.087642
4312,svm_poly,"{'classifier__C': 10, 'classifier__degree': 2, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.654514,0.085874,0.83034,0.042587,0.818581,0.057248,0.850951,0.073458,0.833147,0.044076,0.834766,0.043827,0.669532,0.087654
4312,svm_poly,"{'classifier__C': 1000, 'classifier__degree': 2, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.654514,0.08589,0.83034,0.042597,0.818581,0.057257,0.850951,0.073458,0.833147,0.044085,0.834766,0.043835,0.669532,0.08767
4568,svm_poly,"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.5, 'classifier__kernel': 'poly'}",0.654406,0.085861,0.830283,0.042577,0.818513,0.057253,0.850911,0.073562,0.833088,0.044092,0.834712,0.043834,0.669424,0.087668
4568,svm_poly,"{'classifier__C': 10, 'classifier__degree': 2, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.654482,0.085895,0.830326,0.042596,0.818581,0.057268,0.850911,0.073562,0.833123,0.044109,0.834746,0.04385,0.669492,0.0877
4568,svm_poly,"{'classifier__C': 1000, 'classifier__degree': 2, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.654482,0.085895,0.830326,0.042596,0.818581,0.057268,0.850911,0.073562,0.833123,0.044109,0.834746,0.04385,0.669492,0.0877
157,svm_poly,"{'classifier__C': 10000, 'classifier__degree': 5, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.660569,0.08552,0.834651,0.042058,0.82793,0.054904,0.846431,0.071388,0.835818,0.043804,0.83718,0.043481,0.674361,0.086962
477,svm_poly,"{'classifier__C': 3000, 'classifier__degree': 3, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.666711,0.084252,0.836494,0.041886,0.824648,0.055869,0.857278,0.069986,0.839496,0.043089,0.840963,0.042818,0.681927,0.085635
221,svm_poly,"{'classifier__C': 3000, 'classifier__degree': 3, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.666821,0.0841,0.836552,0.041794,0.824693,0.055729,0.857358,0.069989,0.83956,0.043028,0.841026,0.042756,0.682052,0.085512
7347,svm_poly,"{'classifier__C': 500, 'classifier__degree': 3, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.650745,0.085727,0.82707,0.042975,0.809675,0.058263,0.857586,0.07201,0.831847,0.043969,0.833631,0.043743,0.667261,0.087485
1314,svm_poly,"{'classifier__C': 5, 'classifier__degree': 2, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.657119,0.083661,0.829405,0.042494,0.808208,0.057713,0.866566,0.067374,0.835595,0.042829,0.837387,0.042557,0.674774,0.085114
1314,svm_poly,"{'classifier__C': 500, 'classifier__degree': 2, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.657119,0.083661,0.829405,0.042494,0.808208,0.057713,0.866566,0.067374,0.835595,0.042829,0.837387,0.042557,0.674774,0.085114
1058,svm_poly,"{'classifier__C': 5, 'classifier__degree': 2, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.657171,0.083579,0.829434,0.042439,0.80823,0.057626,0.866605,0.067351,0.835627,0.042785,0.837417,0.042517,0.674834,0.085034
1058,svm_poly,"{'classifier__C': 500, 'classifier__degree': 2, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.657137,0.083579,0.829419,0.042437,0.80823,0.057626,0.866566,0.067374,0.835607,0.042786,0.837398,0.042519,0.674796,0.085037
6586,svm_poly,"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.5, 'classifier__kernel': 'poly'}",0.653638,0.084784,0.830814,0.041919,0.822799,0.056262,0.844851,0.072346,0.832332,0.043482,0.833825,0.043154,0.66765,0.086308
6586,svm_poly,"{'classifier__C': 10, 'classifier__degree': 2, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.653555,0.084837,0.830771,0.041944,0.822754,0.056294,0.844811,0.072382,0.832288,0.043506,0.833782,0.04318,0.667564,0.086359
6586,svm_poly,"{'classifier__C': 1000, 'classifier__degree': 2, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.653579,0.08484,0.830786,0.041945,0.822776,0.056287,0.844811,0.072382,0.8323,0.043509,0.833794,0.043182,0.667587,0.086364
6330,svm_poly,"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.5, 'classifier__kernel': 'poly'}",0.653557,0.084908,0.830771,0.041978,0.822754,0.056321,0.844811,0.072448,0.832286,0.043548,0.833782,0.043221,0.667564,0.086441
6330,svm_poly,"{'classifier__C': 10, 'classifier__degree': 2, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.653624,0.084886,0.830814,0.041947,0.822822,0.056228,0.844811,0.072448,0.832324,0.043533,0.833816,0.043211,0.667632,0.086421
6330,svm_poly,"{'classifier__C': 1000, 'classifier__degree': 2, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.653624,0.084877,0.830814,0.041942,0.822822,0.056219,0.844811,0.072448,0.832324,0.04353,0.833816,0.043207,0.667632,0.086414
4381,svm_poly,"{'classifier__C': 5000, 'classifier__degree': 5, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.659606,0.084431,0.831627,0.042603,0.81459,0.058072,0.861503,0.069058,0.836371,0.043137,0.838046,0.042871,0.676093,0.085742
4570,svm_poly,"{'classifier__C': 500, 'classifier__degree': 3, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.654973,0.085925,0.831723,0.042227,0.824549,0.055633,0.844282,0.072852,0.83297,0.044002,0.834416,0.043729,0.668831,0.087457
2460,svm_poly,"{'classifier__C': 1000, 'classifier__degree': 3, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.659294,0.08686,0.834594,0.042532,0.830419,0.054741,0.841931,0.072536,0.834832,0.044638,0.836175,0.044215,0.67235,0.088431
2203,svm_poly,"{'classifier__C': 7000, 'classifier__degree': 6, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.658754,0.084627,0.830529,0.043143,0.811071,0.059553,0.864705,0.067751,0.836112,0.043078,0.837888,0.042841,0.675776,0.085682
218,svm_poly,"{'classifier__C': 500, 'classifier__degree': 3, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.656665,0.085929,0.832356,0.042344,0.824302,0.055885,0.846469,0.0724,0.833937,0.043973,0.835385,0.043713,0.670771,0.087427
1201,svm_poly,"{'classifier__C': 1000, 'classifier__degree': 4, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.654635,0.083332,0.827862,0.042423,0.805927,0.058693,0.866335,0.069415,0.834181,0.042851,0.836131,0.042563,0.672263,0.085126
6395,svm_poly,"{'classifier__C': 0.1, 'classifier__degree': 5, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.653122,0.086099,0.832603,0.041946,0.834133,0.055712,0.82986,0.074942,0.830495,0.044355,0.831996,0.043795,0.663993,0.08759
6395,svm_poly,"{'classifier__C': 10000, 'classifier__degree': 5, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.653122,0.086099,0.832603,0.041946,0.834133,0.055712,0.82986,0.074942,0.830495,0.044355,0.831996,0.043795,0.663993,0.08759
6651,svm_poly,"{'classifier__C': 0.1, 'classifier__degree': 5, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.653134,0.086126,0.832603,0.041961,0.83411,0.055732,0.8299,0.074958,0.830503,0.044369,0.832005,0.043808,0.66401,0.087617
6651,svm_poly,"{'classifier__C': 10000, 'classifier__degree': 5, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.653134,0.086126,0.832603,0.041961,0.83411,0.055732,0.8299,0.074958,0.830503,0.044369,0.832005,0.043808,0.66401,0.087617
2200,svm_poly,"{'classifier__C': 7000, 'classifier__degree': 6, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.655537,0.085254,0.829148,0.043404,0.810618,0.059778,0.861683,0.068333,0.834396,0.043408,0.83615,0.043164,0.672301,0.086329
3513,svm_poly,"{'classifier__C': 1000, 'classifier__degree': 2, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.648186,0.085434,0.829996,0.041397,0.830099,0.053687,0.829768,0.074929,0.8285,0.044134,0.829933,0.043701,0.659867,0.087401
3257,svm_poly,"{'classifier__C': 1000, 'classifier__degree': 2, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.648566,0.085175,0.830154,0.041327,0.830077,0.053646,0.83024,0.074488,0.82874,0.043986,0.830159,0.043559,0.660317,0.087118
6393,svm_poly,"{'classifier__C': 7000, 'classifier__degree': 3, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.655248,0.085141,0.832745,0.041824,0.829796,0.055805,0.837848,0.07373,0.832354,0.043896,0.833822,0.043425,0.667644,0.08685
6649,svm_poly,"{'classifier__C': 7000, 'classifier__degree': 3, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.655235,0.085152,0.83273,0.041834,0.829751,0.055831,0.837888,0.073742,0.83235,0.043903,0.833819,0.043431,0.667639,0.086862
4313,svm_poly,"{'classifier__C': 10, 'classifier__degree': 3, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.654166,0.086659,0.831504,0.042536,0.825069,0.055522,0.842769,0.073182,0.832494,0.044438,0.833919,0.044141,0.667838,0.088282
4313,svm_poly,"{'classifier__C': 500, 'classifier__degree': 3, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.655573,0.086936,0.831837,0.04273,0.823714,0.055552,0.846066,0.073053,0.833452,0.044604,0.83489,0.044316,0.66978,0.088631
4313,svm_poly,"{'classifier__C': 10000, 'classifier__degree': 3, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.654128,0.086672,0.83149,0.042544,0.825069,0.055522,0.842729,0.073151,0.832475,0.044442,0.833899,0.044144,0.667798,0.088289
153,svm_poly,"{'classifier__C': 10, 'classifier__degree': 3, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.655279,0.086943,0.832093,0.042675,0.825879,0.055779,0.842965,0.073162,0.832996,0.044533,0.834422,0.044222,0.668843,0.088443
153,svm_poly,"{'classifier__C': 10000, 'classifier__degree': 3, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.655205,0.086973,0.83205,0.042695,0.825812,0.055806,0.842965,0.073162,0.832962,0.044547,0.834388,0.044236,0.668776,0.088471
4569,svm_poly,"{'classifier__C': 10, 'classifier__degree': 3, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.654112,0.086666,0.831476,0.042539,0.825024,0.055509,0.842769,0.073182,0.832472,0.044445,0.833896,0.044148,0.667793,0.088295
4569,svm_poly,"{'classifier__C': 500, 'classifier__degree': 3, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.6548,0.086641,0.83162,0.042519,0.824233,0.055345,0.844554,0.073217,0.83296,0.044473,0.834394,0.044175,0.668787,0.088351
4569,svm_poly,"{'classifier__C': 10000, 'classifier__degree': 3, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.654075,0.086669,0.831461,0.042543,0.825024,0.055509,0.842729,0.073151,0.832453,0.044445,0.833876,0.044147,0.667753,0.088293
409,svm_poly,"{'classifier__C': 10, 'classifier__degree': 3, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.655214,0.086848,0.832064,0.042641,0.825857,0.055748,0.842926,0.073041,0.83297,0.044481,0.834391,0.044171,0.668783,0.088342
409,svm_poly,"{'classifier__C': 10000, 'classifier__degree': 3, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.655242,0.086848,0.832078,0.042642,0.825879,0.055769,0.842926,0.073041,0.83298,0.044478,0.834402,0.044168,0.668805,0.088336
3500,svm_poly,"{'classifier__C': 500, 'classifier__degree': 2, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.665752,0.085613,0.836335,0.042397,0.826623,0.057918,0.853272,0.074332,0.838308,0.044077,0.839948,0.043639,0.679895,0.087278
3244,svm_poly,"{'classifier__C': 500, 'classifier__degree': 2, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.665842,0.085602,0.836335,0.04241,0.826395,0.057872,0.853674,0.074157,0.8384,0.044059,0.840035,0.043632,0.680069,0.087264
2458,svm_poly,"{'classifier__C': 5, 'classifier__degree': 4, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.662123,0.085104,0.834371,0.042482,0.823465,0.057187,0.853488,0.069708,0.837009,0.043326,0.838476,0.043064,0.676952,0.086129
2458,svm_poly,"{'classifier__C': 7000, 'classifier__degree': 3, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.661212,0.085386,0.833848,0.042472,0.822645,0.056985,0.853477,0.07088,0.836556,0.043564,0.838061,0.043305,0.676122,0.08661
2522,svm_poly,"{'classifier__C': 5, 'classifier__degree': 4, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.661486,0.084919,0.833924,0.042436,0.822493,0.057315,0.853962,0.069664,0.83674,0.043225,0.838227,0.042977,0.676454,0.085954
2522,svm_poly,"{'classifier__C': 1000, 'classifier__degree': 4, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.661799,0.084917,0.834096,0.042419,0.822718,0.057225,0.854043,0.069664,0.836898,0.043228,0.83838,0.042981,0.676761,0.085961
2266,svm_poly,"{'classifier__C': 5, 'classifier__degree': 4, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.661524,0.084967,0.833952,0.042457,0.82256,0.057318,0.853922,0.069683,0.836755,0.043249,0.838241,0.043002,0.676482,0.086004
2202,svm_poly,"{'classifier__C': 5, 'classifier__degree': 4, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.662145,0.085138,0.83437,0.042509,0.823419,0.057237,0.853565,0.0697,0.837023,0.043343,0.838492,0.043079,0.676984,0.086158
2202,svm_poly,"{'classifier__C': 7000, 'classifier__degree': 3, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.661035,0.085415,0.833762,0.042484,0.822578,0.057,0.853358,0.070955,0.836461,0.043582,0.837968,0.043326,0.675936,0.086651
4536,svm_poly,"{'classifier__C': 5000, 'classifier__degree': 5, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.658773,0.084088,0.833673,0.041742,0.827122,0.05671,0.845111,0.071271,0.834655,0.043046,0.836116,0.042667,0.672232,0.085335
