dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
1241,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 150}",0.690682,0.070416,0.848832,0.034129,0.89312,0.040502,0.788577,0.062314,0.838293,0.037394,0.840848,0.036068,0.681697,0.072136
1650,svm_rbf,"{'classifier__C': 50, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.70023,0.069452,0.850535,0.034635,0.842541,0.046512,0.861383,0.053245,0.851154,0.035101,0.851962,0.034955,0.703924,0.069909
1980,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 150}",0.697549,0.070956,0.852175,0.034414,0.897825,0.04057,0.790078,0.061691,0.841332,0.03764,0.843952,0.036267,0.687903,0.072535
7836,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 150}",0.70145,0.069282,0.854055,0.033562,0.901627,0.039393,0.789349,0.061687,0.842718,0.037039,0.845488,0.035542,0.690975,0.071083
5276,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 75}",0.694896,0.071305,0.850863,0.034612,0.89581,0.041447,0.789716,0.061365,0.840187,0.037631,0.842763,0.036312,0.685526,0.072625
1842,svm_poly,"{'classifier__C': 500, 'classifier__degree': 3, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.701385,0.070344,0.850974,0.035178,0.841537,0.047061,0.863792,0.052437,0.851863,0.035515,0.852665,0.035362,0.705329,0.070724
1788,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 175}",0.70057,0.069002,0.853669,0.033432,0.899194,0.038963,0.791754,0.060911,0.842899,0.036748,0.845474,0.035382,0.690947,0.070764
5745,svm_poly,"{'classifier__C': 5000, 'classifier__degree': 5, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.695981,0.069902,0.848002,0.03503,0.8358,0.046854,0.864576,0.051322,0.849366,0.035261,0.850188,0.035127,0.700376,0.070254
4027,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 175}",0.691644,0.070377,0.849305,0.034116,0.894494,0.0406,0.787844,0.061684,0.838563,0.037342,0.841169,0.035973,0.682337,0.071946
3551,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 75}",0.693602,0.069452,0.850262,0.033616,0.897924,0.040098,0.785413,0.061249,0.83888,0.03689,0.841669,0.03548,0.683338,0.07096
7986,svm_poly,"{'classifier__C': 0.5, 'classifier__degree': 3, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.698074,0.069077,0.849434,0.034569,0.840994,0.046695,0.860895,0.051927,0.850154,0.03491,0.850944,0.034733,0.701888,0.069467
7986,svm_poly,"{'classifier__C': 500, 'classifier__degree': 3, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.698072,0.069116,0.849434,0.03459,0.840994,0.046716,0.860895,0.051893,0.850156,0.034927,0.850944,0.034749,0.701888,0.069498
7730,svm_poly,"{'classifier__C': 0.5, 'classifier__degree': 3, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.698687,0.068851,0.849735,0.034459,0.841335,0.046735,0.861141,0.051999,0.850441,0.034804,0.851238,0.034625,0.702476,0.06925
7730,svm_poly,"{'classifier__C': 500, 'classifier__degree': 3, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.698629,0.068859,0.849704,0.034461,0.841281,0.046729,0.861141,0.051999,0.850414,0.034808,0.851211,0.034629,0.702422,0.069258
6065,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 150}",0.686866,0.070462,0.846902,0.034122,0.890261,0.041095,0.787932,0.063972,0.836528,0.037588,0.839097,0.036171,0.678193,0.072343
5681,svm_poly,"{'classifier__C': 3000, 'classifier__degree': 3, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.69897,0.069147,0.849498,0.034687,0.837587,0.04716,0.865679,0.051084,0.8508,0.034855,0.851633,0.034715,0.703266,0.06943
1584,svm_poly,"{'classifier__C': 3000, 'classifier__degree': 3, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.69868,0.069618,0.849363,0.034913,0.837425,0.047072,0.865581,0.051224,0.850678,0.035108,0.851503,0.034971,0.703006,0.069941
5937,svm_poly,"{'classifier__C': 3000, 'classifier__degree': 3, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.699146,0.069332,0.849591,0.034779,0.837712,0.047205,0.865729,0.051096,0.85089,0.034943,0.85172,0.034804,0.703441,0.069609
1840,svm_poly,"{'classifier__C': 3000, 'classifier__degree': 3, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.698864,0.069413,0.849466,0.034811,0.837621,0.047004,0.865555,0.051172,0.850764,0.035009,0.851588,0.034871,0.703176,0.069741
1174,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 50}",0.689423,0.069675,0.848157,0.033851,0.888099,0.041671,0.793802,0.060022,0.838735,0.036547,0.84095,0.035408,0.681901,0.070816
6621,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 50}",0.687386,0.07087,0.847197,0.034363,0.891006,0.041401,0.787588,0.062716,0.83674,0.037634,0.839297,0.036248,0.678595,0.072495
784,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 3, 'classifier__n_estimators': 150}",0.689278,0.069566,0.848063,0.033811,0.887261,0.04096,0.794734,0.062043,0.838781,0.036964,0.840998,0.035683,0.681995,0.071366
1906,svm_poly,"{'classifier__C': 0.5, 'classifier__degree': 3, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.701271,0.069511,0.850765,0.034845,0.83993,0.04714,0.86548,0.051619,0.851885,0.035089,0.852705,0.03493,0.70541,0.06986
1906,svm_poly,"{'classifier__C': 500, 'classifier__degree': 3, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.701229,0.069527,0.850744,0.034855,0.839912,0.047152,0.865455,0.051619,0.851864,0.035099,0.852684,0.034939,0.705367,0.069877
1650,svm_poly,"{'classifier__C': 0.5, 'classifier__degree': 3, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.701127,0.069342,0.850713,0.034768,0.84002,0.047059,0.865235,0.051471,0.851814,0.035014,0.852628,0.034848,0.705256,0.069697
1650,svm_poly,"{'classifier__C': 500, 'classifier__degree': 3, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.701134,0.069308,0.850713,0.034755,0.840002,0.047092,0.86526,0.051471,0.851815,0.035,0.852631,0.034832,0.705262,0.069664
7605,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 5, 'classifier__n_estimators': 175}",0.69117,0.07198,0.849026,0.034865,0.892569,0.041767,0.789804,0.062484,0.838679,0.037953,0.841187,0.036687,0.682373,0.073374
5683,svm_poly,"{'classifier__C': 0.5, 'classifier__degree': 3, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.700164,0.069893,0.850255,0.035021,0.839747,0.047207,0.864528,0.0515,0.851332,0.03524,0.852138,0.035092,0.704275,0.070185
5683,svm_poly,"{'classifier__C': 500, 'classifier__degree': 3, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.700203,0.069908,0.850275,0.035029,0.839784,0.047226,0.864528,0.0515,0.85135,0.035247,0.852156,0.035099,0.704312,0.070198
1150,svm_poly,"{'classifier__C': 5, 'classifier__degree': 5, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.698175,0.068505,0.849237,0.034319,0.838599,0.046737,0.863703,0.05143,0.85033,0.034565,0.851151,0.034428,0.702302,0.068856
1406,svm_poly,"{'classifier__C': 5, 'classifier__degree': 5, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.698411,0.068596,0.849371,0.03437,0.838852,0.046743,0.863678,0.051371,0.85045,0.034614,0.851265,0.034473,0.70253,0.068946
6136,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 6, 'classifier__n_estimators': 175}",0.695036,0.069989,0.850936,0.033847,0.897281,0.040057,0.787891,0.062524,0.839871,0.037316,0.842586,0.035868,0.685171,0.071735
6001,svm_poly,"{'classifier__C': 3000, 'classifier__degree': 3, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.699453,0.069337,0.849737,0.034777,0.837693,0.047029,0.866098,0.051015,0.85107,0.034953,0.851895,0.034816,0.703791,0.069632
5745,svm_poly,"{'classifier__C': 3000, 'classifier__degree': 3, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.699448,0.069226,0.849716,0.034715,0.83755,0.047041,0.866245,0.051002,0.851067,0.034881,0.851897,0.03475,0.703794,0.0695
6659,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 150}",0.676893,0.070671,0.842071,0.034239,0.883522,0.041719,0.785679,0.062684,0.832189,0.037381,0.834601,0.036091,0.669202,0.072182
3770,svm_poly,"{'classifier__C': 10000, 'classifier__degree': 6, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.694607,0.067991,0.846878,0.034161,0.831311,0.046976,0.868035,0.051108,0.84874,0.034349,0.849673,0.03421,0.699347,0.06842
8156,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 5, 'classifier__n_estimators': 50}",0.688453,0.07004,0.847732,0.033917,0.894824,0.040667,0.783684,0.062918,0.836439,0.037429,0.839254,0.035907,0.678508,0.071814
5136,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 5, 'classifier__n_estimators': 150}",0.689182,0.069509,0.848,0.033754,0.886995,0.041279,0.794946,0.061753,0.838768,0.036771,0.840971,0.035565,0.681941,0.071129
3632,svm_poly,"{'classifier__C': 100, 'classifier__degree': 2, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.695569,0.069374,0.847523,0.03493,0.833444,0.047928,0.866659,0.051534,0.84914,0.035122,0.850051,0.034918,0.700102,0.069836
3632,svm_poly,"{'classifier__C': 10000, 'classifier__degree': 2, 'classifier__gamma': 0.001, 'classifier__kernel': 'poly'}",0.695549,0.069363,0.847513,0.034923,0.833425,0.047916,0.866659,0.051534,0.849131,0.035117,0.850042,0.034913,0.700084,0.069825
3888,svm_poly,"{'classifier__C': 1, 'classifier__degree': 2, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.695574,0.069328,0.847524,0.034901,0.833445,0.047922,0.866659,0.051558,0.84914,0.035094,0.850052,0.034891,0.700104,0.069782
3888,svm_poly,"{'classifier__C': 100, 'classifier__degree': 2, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.695574,0.069328,0.847524,0.034901,0.833445,0.047922,0.866659,0.051558,0.84914,0.035094,0.850052,0.034891,0.700104,0.069782
3888,svm_poly,"{'classifier__C': 10000, 'classifier__degree': 2, 'classifier__gamma': 0.001, 'classifier__kernel': 'poly'}",0.695551,0.069334,0.847513,0.034904,0.833445,0.047922,0.866635,0.051558,0.849128,0.035096,0.85004,0.034894,0.70008,0.069788
2619,svm_rbf,"{'classifier__C': 50, 'classifier__gamma': 0.005, 'classifier__kernel': 'rbf'}",0.698263,0.070266,0.848824,0.035299,0.834509,0.04809,0.868288,0.052451,0.850472,0.035521,0.851399,0.035364,0.702797,0.070729
2875,svm_rbf,"{'classifier__C': 50, 'classifier__gamma': 0.005, 'classifier__kernel': 'rbf'}",0.698119,0.070361,0.848751,0.035336,0.834402,0.048016,0.868263,0.052542,0.850407,0.03558,0.851333,0.035422,0.702666,0.070844
5998,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.686581,0.069168,0.846825,0.033512,0.89156,0.041023,0.785993,0.060584,0.836202,0.036449,0.838777,0.03521,0.677553,0.07042
1496,svm_rbf,"{'classifier__C': 50, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.692395,0.069084,0.847406,0.034273,0.847336,0.045847,0.847501,0.054309,0.846633,0.034956,0.847418,0.034767,0.694837,0.069533
5791,random_forest,"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 4, 'classifier__n_estimators': 150}",0.699172,0.068708,0.852931,0.03334,0.898557,0.039905,0.790876,0.061491,0.842081,0.036682,0.844717,0.03525,0.689434,0.070499
5744,svm_poly,"{'classifier__C': 5, 'classifier__degree': 2, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.699665,0.069758,0.849872,0.03494,0.838273,0.047149,0.86563,0.052026,0.85111,0.035204,0.851952,0.035061,0.703903,0.070123
5744,svm_poly,"{'classifier__C': 100, 'classifier__degree': 2, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.699131,0.069129,0.849445,0.034754,0.836611,0.047761,0.866881,0.051283,0.850871,0.034884,0.851746,0.034725,0.703492,0.069451
5744,svm_poly,"{'classifier__C': 500, 'classifier__degree': 2, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.699583,0.069772,0.84983,0.034946,0.838237,0.047165,0.865581,0.05206,0.851067,0.035213,0.851909,0.035069,0.703818,0.070138
5744,svm_poly,"{'classifier__C': 12000, 'classifier__degree': 2, 'classifier__gamma': 0.001, 'classifier__kernel': 'poly'}",0.699349,0.069535,0.849654,0.034894,0.837587,0.047463,0.866048,0.051639,0.850965,0.035092,0.851817,0.034939,0.703635,0.069878
6000,svm_poly,"{'classifier__C': 5, 'classifier__degree': 2, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.699426,0.069919,0.849758,0.035033,0.838219,0.047307,0.865433,0.051972,0.850986,0.035277,0.851826,0.035132,0.703651,0.070264
6000,svm_poly,"{'classifier__C': 100, 'classifier__degree': 2, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.699033,0.069602,0.849435,0.034983,0.836918,0.047882,0.866439,0.051391,0.850813,0.035113,0.851679,0.034955,0.703357,0.06991
6000,svm_poly,"{'classifier__C': 500, 'classifier__degree': 2, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.699406,0.069926,0.849747,0.035036,0.838201,0.047303,0.865433,0.051972,0.850977,0.03528,0.851817,0.035135,0.703634,0.070271
6000,svm_poly,"{'classifier__C': 12000, 'classifier__degree': 2, 'classifier__gamma': 0.001, 'classifier__kernel': 'poly'}",0.699491,0.069602,0.849716,0.034937,0.837641,0.047638,0.866122,0.051635,0.851025,0.035111,0.851882,0.034959,0.703763,0.069917
6001,svm_poly,"{'classifier__C': 5, 'classifier__degree': 2, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.699747,0.069872,0.849913,0.034998,0.838202,0.047031,0.865827,0.051763,0.851185,0.035247,0.852015,0.035109,0.70403,0.070217
6001,svm_poly,"{'classifier__C': 100, 'classifier__degree': 2, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.699577,0.069477,0.849736,0.034859,0.837354,0.047362,0.866562,0.05153,0.851104,0.035049,0.851958,0.034905,0.703916,0.06981
6001,svm_poly,"{'classifier__C': 500, 'classifier__degree': 2, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.699725,0.069876,0.849903,0.034998,0.838202,0.047031,0.865802,0.051801,0.851172,0.035252,0.852002,0.035113,0.704005,0.070225
6001,svm_poly,"{'classifier__C': 12000, 'classifier__degree': 2, 'classifier__gamma': 0.001, 'classifier__kernel': 'poly'}",0.699816,0.069373,0.849892,0.034796,0.837786,0.047215,0.866341,0.051429,0.851221,0.034988,0.852064,0.034847,0.704128,0.069694
1648,svm_poly,"{'classifier__C': 5, 'classifier__degree': 2, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.699343,0.069924,0.849664,0.035043,0.837712,0.047422,0.8659,0.052026,0.850953,0.035281,0.851806,0.035137,0.703612,0.070275
