dataset,classifier,hyperparameters,test_mcc,test_mcc_stdev,test_accuracy,test_accuracy_stdev,test_recall,test_recall_stdev,test_specificity,test_specificity_stdev,test_gm,test_gm_stdev,test_uar,test_uar_stdev,test_bm,test_bm_stdev
1843,svm_rbf,"{'classifier__C': 5, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.701731,0.069084,0.851429,0.034484,0.844549,0.046129,0.860779,0.052286,0.851901,0.034906,0.852664,0.034749,0.705328,0.069498
1907,svm_rbf,"{'classifier__C': 5, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.702522,0.069221,0.851782,0.034593,0.844619,0.046519,0.861516,0.052222,0.852295,0.034972,0.853068,0.034807,0.706135,0.069614
1651,svm_rbf,"{'classifier__C': 5, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.702456,0.06924,0.851761,0.03462,0.844728,0.046643,0.861321,0.052068,0.852255,0.034972,0.853024,0.034805,0.706048,0.069611
1587,svm_rbf,"{'classifier__C': 5, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.70165,0.069231,0.851388,0.034565,0.844512,0.046251,0.86073,0.052304,0.851857,0.034977,0.852621,0.034818,0.705242,0.069637
5747,svm_rbf,"{'classifier__C': 5, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.697784,0.068896,0.848706,0.034604,0.835101,0.047148,0.867204,0.051242,0.850275,0.034806,0.851152,0.034652,0.702304,0.069304
6003,svm_rbf,"{'classifier__C': 5, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.697917,0.068843,0.848779,0.034583,0.835227,0.047157,0.867203,0.051149,0.85034,0.034774,0.851215,0.034619,0.70243,0.069238
6007,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.695379,0.069541,0.847793,0.034813,0.8366,0.046725,0.863014,0.052136,0.848977,0.035138,0.849807,0.035005,0.699614,0.07001
2931,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.701167,0.068789,0.851041,0.034422,0.843465,0.046783,0.861335,0.052531,0.851597,0.034836,0.8524,0.034635,0.704799,0.06927
2675,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.701154,0.068766,0.851021,0.03442,0.843356,0.046893,0.861432,0.05248,0.851588,0.034813,0.852394,0.034613,0.704789,0.069227
3706,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.704914,0.069126,0.852823,0.034435,0.844551,0.046317,0.864069,0.053693,0.853485,0.034977,0.85431,0.034819,0.70862,0.069639
3962,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.705031,0.069216,0.852875,0.034492,0.84457,0.046421,0.864169,0.053699,0.853543,0.035026,0.854369,0.034865,0.708739,0.069729
1595,svm_rbf,"{'classifier__C': 50, 'classifier__gamma': 0.005, 'classifier__kernel': 'rbf'}",0.697775,0.06936,0.848606,0.034826,0.834442,0.047698,0.867866,0.051708,0.850243,0.034997,0.851154,0.034851,0.702308,0.069702
1591,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.695004,0.069873,0.847451,0.035,0.835,0.046982,0.864386,0.052505,0.848828,0.035332,0.849693,0.035196,0.699386,0.070392
1847,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.694705,0.069755,0.847316,0.034957,0.834999,0.047028,0.864068,0.052393,0.848671,0.035277,0.849533,0.035135,0.699067,0.07027
2865,svm_rbf,"{'classifier__C': 50, 'classifier__gamma': 0.005, 'classifier__kernel': 'rbf'}",0.695327,0.07148,0.847585,0.035917,0.835067,0.048436,0.864602,0.052449,0.848959,0.036137,0.849834,0.035954,0.699668,0.071907
2609,svm_rbf,"{'classifier__C': 50, 'classifier__gamma': 0.005, 'classifier__kernel': 'rbf'}",0.695069,0.071362,0.847439,0.035855,0.834794,0.048411,0.864626,0.052518,0.848828,0.036085,0.84971,0.0359,0.699419,0.071801
4092,svm_rbf,"{'classifier__C': 5, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.695181,0.070587,0.84799,0.035341,0.839934,0.047941,0.858944,0.052687,0.848624,0.035617,0.849439,0.035444,0.698878,0.070888
5680,svm_rbf,"{'classifier__C': 5, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.696566,0.069973,0.848197,0.035162,0.835386,0.047615,0.865611,0.051204,0.849647,0.035325,0.850499,0.035161,0.700997,0.070323
5936,svm_rbf,"{'classifier__C': 5, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.696733,0.07007,0.848291,0.035199,0.835531,0.047551,0.865635,0.051192,0.849737,0.035364,0.850583,0.035205,0.701167,0.070411
1724,svm_rbf,"{'classifier__C': 1, 'classifier__gamma': 0.5, 'classifier__kernel': 'rbf'}",0.69172,0.071118,0.846815,0.035363,0.843706,0.046398,0.851037,0.054277,0.846609,0.035987,0.847372,0.035815,0.694743,0.07163
1980,svm_rbf,"{'classifier__C': 1, 'classifier__gamma': 0.5, 'classifier__kernel': 'rbf'}",0.691876,0.071101,0.846889,0.035348,0.843781,0.046411,0.851113,0.054383,0.84668,0.035981,0.847447,0.03581,0.694893,0.071619
8186,svm_rbf,"{'classifier__C': 50, 'classifier__gamma': 0.005, 'classifier__kernel': 'rbf'}",0.696272,0.069506,0.848113,0.034853,0.836073,0.047475,0.864477,0.051862,0.849414,0.035065,0.850275,0.034922,0.70055,0.069845
3835,svm_rbf,"{'classifier__C': 5, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.696496,0.069527,0.84804,0.034927,0.834537,0.047901,0.866397,0.051811,0.849565,0.035102,0.850467,0.034942,0.700934,0.069884
4091,svm_rbf,"{'classifier__C': 5, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.696723,0.069516,0.848164,0.034916,0.834752,0.047872,0.866396,0.051815,0.849675,0.035091,0.850574,0.034935,0.701148,0.06987
3834,svm_rbf,"{'classifier__C': 5, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.696623,0.069521,0.848163,0.034914,0.83511,0.047812,0.865901,0.051728,0.849618,0.035089,0.850505,0.03493,0.70101,0.069859
1852,svm_rbf,"{'classifier__C': 5, 'classifier__gamma': 0.5, 'classifier__kernel': 'rbf'}",0.685375,0.071714,0.844578,0.03543,0.85217,0.046066,0.834244,0.056719,0.842337,0.03648,0.843207,0.036158,0.686414,0.072315
4912,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.699259,0.069814,0.850192,0.034882,0.843952,0.047554,0.858671,0.053252,0.850498,0.035253,0.851312,0.035074,0.702623,0.070148
6078,svm_rbf,"{'classifier__C': 1, 'classifier__gamma': 0.5, 'classifier__kernel': 'rbf'}",0.693313,0.071496,0.847605,0.035588,0.844736,0.04703,0.851499,0.054563,0.847337,0.036184,0.848118,0.035994,0.696235,0.071989
5822,svm_rbf,"{'classifier__C': 1, 'classifier__gamma': 0.5, 'classifier__kernel': 'rbf'}",0.693243,0.071479,0.847563,0.035573,0.844646,0.047032,0.851524,0.054591,0.847302,0.036168,0.848085,0.035982,0.69617,0.071965
1851,svm_rbf,"{'classifier__C': 50, 'classifier__gamma': 0.005, 'classifier__kernel': 'rbf'}",0.697794,0.069332,0.848605,0.034835,0.834387,0.04786,0.86794,0.051543,0.850251,0.034973,0.851163,0.034825,0.702326,0.06965
1850,svm_rbf,"{'classifier__C': 50, 'classifier__gamma': 0.005, 'classifier__kernel': 'rbf'}",0.697727,0.069531,0.848584,0.034916,0.834442,0.04778,0.867816,0.051762,0.850218,0.03509,0.851129,0.034941,0.702258,0.069882
4915,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.700663,0.068382,0.850845,0.034207,0.843839,0.04676,0.860361,0.052269,0.851302,0.03458,0.8521,0.034388,0.7042,0.068776
4659,svm_rbf,"{'classifier__C': 10, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.700597,0.068477,0.850814,0.034253,0.843874,0.046869,0.860239,0.052338,0.851257,0.034615,0.852057,0.03443,0.704113,0.068859
